StudentID,Subject,StudyHours,Marks,Attendance,City
1,Math,5,78,85,Chennai
2,Science,6,82,88,Coimbatore
3,English,4,70,80,Madurai
4,Computer,7,90,92,Salem
5,Math,3,65,75,Chennai
6,Science,8,88,90,Coimbatore
7,English,2,60,70,Madurai
8,Computer,9,95,96,Salem
9,Math,6,80,85,Chennai
10,Science,5,76,82,Coimbatore
11,English,3,68,78,Madurai
12,Computer,7,89,91,Salem
13,Math,4,72,80,Chennai
14,Science,6,84,87,Coimbatore
15,English,5,75,83,Madurai
16,Computer,8,92,94,Salem
17,Math,7,85,88,Chennai
18,Science,3,66,75,Coimbatore
19,English,6,79,85,Madurai
20,Computer,9,96,97,Salem
21,Math,2,60,70,Chennai
22,Science,7,87,89,Coimbatore
23,English,4,73,80,Madurai
24,Computer,6,88,90,Salem
25,Math,5,77,84,Chennai
26,Science,8,91,93,Coimbatore
27,English,3,65,75,Madurai
28,Computer,7,90,92,Salem
29,Math,6,82,86,Chennai
30,Science,4,74,81,Coimbatore
